id,cond,tr_nr,rd,ed,rt
2,baseline,1,350,100,0.730868545031634
2,baseline,2,350,150,2.07281735757656
2,baseline,3,350,200,2.73990917032951
2,baseline,4,200,100,2.24185028044293
2,baseline,5,500,300,2.6465069778964
2,baseline,6,350,150,1.53612692451114
2,baseline,7,500,250,2.16391363357082
2,baseline,8,350,250,1.63721716597452
2,baseline,9,500,300,1.84991497676127
2,baseline,10,500,300,0.814234025697737
2,baseline,11,350,200,1.07171154062864
2,baseline,12,500,250,1.22826940260222
2,baseline,13,200,100,0.998099427637678
2,baseline,14,350,50,0.695962004234513
2,baseline,15,350,50,0.967962985547425
2,baseline,16,200,50,0.99042972097904
2,baseline,17,500,150,1.246771291607
2,baseline,18,500,300,0.661256807278573
2,baseline,19,350,250,0.791170854322561
2,baseline,20,500,400,1.29481567134867
2,baseline,21,200,100,0.871746177589973
2,baseline,22,350,200,0.738974063033435
2,baseline,23,500,400,0.979100775275826
2,baseline,24,200,50,1.37895122201223
2,baseline,25,500,250,1.62037123251718
2,baseline,26,350,100,0.718986479249081
2,baseline,27,350,200,0.969973401349764
2,baseline,28,200,50,0.912622655399617
2,baseline,29,200,50,0.96954576478069
2,baseline,30,200,0,1.668354052123
2,baseline,31,500,400,0.917602073845446
2,baseline,32,500,300,1.15376639291177
2,baseline,33,500,300,1.17236304897169
2,baseline,34,500,400,1.86496631534513
2,baseline,35,200,0,1.21472298498862
2,baseline,36,200,0,1.0360776774485
2,baseline,37,200,50,1.48612051845338
2,baseline,38,200,0,1.00017228835491
2,baseline,39,500,250,0.917471551933168
2,baseline,40,200,50,1.71109818900914
2,baseline,41,500,250,1.76922757760576
2,baseline,42,350,200,1.39135956241693
2,baseline,43,350,200,1.06443174965019
2,baseline,44,200,50,2.01827363925856
2,baseline,45,200,50,3.54482333058531
2,baseline,46,350,150,3.64936991337572
2,baseline,47,200,50,0.788446383667758
2,baseline,48,200,0,0.762074860776427
2,baseline,49,200,0,0.700310256899465
2,baseline,50,350,150,1.85230015355105
2,baseline,51,350,50,0.593326026293046
2,baseline,52,350,150,1.08052218325075
2,baseline,53,350,250,1.68185505931333
2,baseline,54,350,200,1.05168842224523
2,baseline,55,500,300,0.852830440422995
2,baseline,56,500,400,0.858635791050392
2,baseline,57,500,400,1.35023238833266
2,baseline,58,200,300,2.05451745167674
2,baseline,59,200,100,1.16948699997618
2,baseline,60,500,300,0.778507264022493
