id,condition,slopes
12,idle,0.00834786679199285
12,pre_move,-0.00530146387994715
14,idle,-0.0020327017484921
14,pre_move,0.00832604618864984
15,idle,0.00281291912594414
15,pre_move,-0.00573756662945846
16,idle,-0.00626456499729751
16,pre_move,-0.0197248476352793
17,idle,0.00632859571948868
17,pre_move,-0.0186087177734247
19,idle,0.0157709922538196
19,pre_move,-0.00930947763785783
20,idle,0.00206315208532848
20,pre_move,-0.00741821909488839
21,idle,0.00922077108434743
21,pre_move,-0.00945891915416138
